@relation art_training_set
@attribute 'd0' numeric
@attribute 'd1' numeric
@attribute 'd2' numeric
@attribute 'd3' numeric
@attribute 'd4' numeric
@attribute 'd5' numeric
@attribute 'd6' numeric
@attribute 'd7' numeric
@attribute 'd8' numeric
@attribute 'd9' numeric
@attribute 'd10' numeric
@attribute 'd11' numeric
@attribute 'd12' numeric
@attribute 'd13' numeric
@attribute 'd14' numeric
@attribute 'd15' numeric
@attribute 'd16' numeric
@attribute 'd17' numeric
@attribute 'd18' numeric
@attribute 'd19' numeric
@attribute 'd20' numeric
@attribute 'd21' numeric
@attribute 'd22' numeric
@attribute 'd23' numeric
@attribute 'd24' numeric
@attribute 'd25' numeric
@attribute 'd26' numeric
@attribute 'd27' numeric
@attribute 'd28' numeric
@attribute 'd29' numeric
@attribute 'd30' numeric
@attribute 'd31' numeric
@attribute 'd32' numeric
@attribute 'd33' numeric
@attribute 'd34' numeric
@attribute 'd35' numeric
@attribute 'd36' numeric
@attribute 'd37' numeric
@attribute 'd38' numeric
@attribute 'd39' numeric
@attribute 'd40' numeric
@attribute 'd41' numeric
@attribute 'd42' numeric
@attribute 'd43' numeric
@attribute 'd44' numeric
@attribute 'd45' numeric
@attribute 'd46' numeric
@attribute 'd47' numeric
@attribute 'd48' numeric
@attribute 'd49' numeric
@attribute 'd50' numeric
@attribute 'd51' numeric
@attribute 'd52' numeric
@attribute 'd53' numeric
@attribute 'd54' numeric
@attribute 'd55' numeric
@attribute 'd56' numeric
@attribute 'd57' numeric
@attribute 'd58' numeric
@attribute 'd59' numeric
@attribute 'd60' numeric
@attribute 'd61' numeric
@attribute 'd62' numeric
@attribute 'd63' numeric
@attribute 'd64' numeric
@attribute 'd65' numeric
@attribute 'd66' numeric
@attribute 'd67' numeric
@attribute 'd68' numeric
@attribute 'd69' numeric
@attribute 'd70' numeric
@attribute 'd71' numeric
@attribute 'd72' numeric
@attribute 'd73' numeric
@attribute 'd74' numeric
@attribute 'd75' numeric
@attribute 'd76' numeric
@attribute 'd77' numeric
@attribute 'd78' numeric
@attribute 'd79' numeric
@attribute 'd80' numeric
@attribute 'd81' numeric
@attribute 'd82' numeric
@attribute 'd83' numeric
@attribute 'd84' numeric
@attribute 'd85' numeric
@attribute 'd86' numeric
@attribute 'd87' numeric
@attribute 'd88' numeric
@attribute 'd89' numeric
@attribute 'd90' numeric
@attribute 'd91' numeric
@attribute 'd92' numeric
@attribute 'd93' numeric
@attribute 'd94' numeric
@attribute 'd95' numeric
@attribute 'd96' numeric
@attribute 'd97' numeric
@attribute 'd98' numeric
@attribute 'd99' numeric
@attribute 'd100' numeric
@attribute 'd101' numeric
@attribute 'd102' numeric
@attribute 'd103' numeric
@attribute 'd104' numeric
@attribute 'd105' numeric
@attribute 'd106' numeric
@attribute 'd107' numeric
@attribute 'evaluation' { liked, disliked }
@data
0.018062,0.016033,0.028229,0.048567,0.020183,0.030749,0.02598,0.033981,0.031564,0.036864,0.021889,0.020576,0.027365,0.021506,0.030549,0.031472,0.032653,0.037489,0.018357,0.022393,0.048729,0.035074,0.011485,0.015604,0.014117,0.024728,0.026109,0.045938,0.019101,0.035642,0.024645,0.031505,0.036351,0.030186,0.029836,0.01452,0.017637,0.02757,0.031562,0.034124,0.022016,0.041826,0.023661,0.023389,0.042188,0.038088,0.018679,0.011937,0.016669,0.019206,0.022601,0.052417,0.007306,0.04084,0.026671,0.036075,0.016628,0.042104,0.023704,0.028456,0.01949,0.022909,0.028764,0.039729,0.023669,0.039966,0.019403,0.027854,0.034026,0.032991,0.021974,0.021902,0.029726,0.023263,0.019015,0.038889,0.030652,0.027772,0.020588,0.03188,0.033548,0.041001,0.012956,0.023388,0.022347,0.020411,0.022003,0.046131,0.026179,0.030778,0.020261,0.033675,0.042426,0.032731,0.016234,0.019502,0.018529,0.021894,0.023876,0.046593,0.022909,0.029708,0.023315,0.034961,0.036328,0.032854,0.014181,0.02753,disliked
0.016279,0.025478,0.026472,0.042667,0.024811,0.030476,0.03142,0.02419,0.035623,0.04107,0.01568,0.018522,0.007032,0.020071,0.021831,0.061962,0.011248,0.027725,0.029465,0.042459,0.01729,0.046043,0.024214,0.023348,0.010371,0.025719,0.049816,0.02499,0.02525,0.051961,0.018663,0.015021,0.059969,0.029768,0.008635,0.012524,0.00523,0.022281,0.022807,0.060578,0.009642,0.034332,0.030289,0.036633,0.028267,0.047371,0.018723,0.016536,0.001475,0.012143,0.03681,0.060469,0.002815,0.029452,0.031623,0.047006,0.013389,0.036465,0.030006,0.031036,0.017239,0.017729,0.028998,0.046929,0.021217,0.025344,0.032567,0.031768,0.036734,0.032782,0.012758,0.028621,0.014687,0.024829,0.025346,0.046034,0.022105,0.030273,0.036007,0.022511,0.034769,0.04392,0.013123,0.019084,0.013582,0.029514,0.038795,0.029005,0.022518,0.04826,0.022484,0.017634,0.052216,0.034687,0.009184,0.014809,0.003917,0.01776,0.040589,0.048631,0.007052,0.031717,0.043398,0.028729,0.027025,0.02614,0.040329,0.017403,liked
0.034195,0.037322,0.028501,0.010891,0.037372,0.033674,0.026533,0.013331,0.048797,0.029228,0.025369,0.007514,0.037778,0.058648,0.013872,6.11E-4,0.04948,0.05034,0.010433,6.56E-4,0.070413,0.03502,0.005282,1.95E-4,0.067086,0.028148,0.012548,0.003127,0.067768,0.02709,0.012939,0.003112,0.082253,0.020149,0.007687,8.2E-4,0.063165,0.020925,0.015459,0.01136,0.068957,0.019785,0.013142,0.009024,0.07747,0.017175,0.010286,0.005978,0.074504,0.03414,0.001958,3.07E-4,0.090404,0.01852,0.001743,2.42E-4,0.104447,0.004611,0.001613,2.38E-4,0.053401,0.051481,0.004947,0.001079,0.069294,0.036389,0.004684,5.43E-4,0.093407,0.014108,0.002945,4.5E-4,0.083884,0.025077,0.001926,2.2E-5,0.089102,0.020209,0.001574,2.3E-5,0.098829,0.01181,2.67E-4,3.0E-6,0.084996,0.015395,0.006628,0.00389,0.093009,0.010131,0.00488,0.00289,0.097986,0.008148,0.003086,0.001689,0.065174,0.029397,0.012073,0.004265,0.084271,0.019113,0.00505,0.002475,0.101049,0.006265,0.001926,0.001669,liked
0.015042,0.049793,0.036723,0.009385,0.022052,0.053831,0.033535,0.001525,0.033359,0.06838,0.009117,8.7E-5,0.04066,0.045274,0.016784,0.008225,0.057071,0.040034,0.011515,0.002323,0.068236,0.036999,0.005235,4.73E-4,0.053147,0.04003,0.012601,0.005165,0.068658,0.035701,0.006107,4.77E-4,0.078587,0.03057,0.001563,2.23E-4,0.040619,0.034975,0.022221,0.013127,0.064999,0.025066,0.013065,0.007812,0.078048,0.017278,0.009502,0.006115,0.073243,0.034605,0.003029,6.6E-5,0.092302,0.017813,7.66E-4,6.2E-5,0.101398,0.009098,4.05E-4,4.2E-5,0.075356,0.027748,0.00568,0.002158,0.094455,0.013995,0.002324,1.7E-4,0.099562,0.010151,0.001163,6.6E-5,0.036806,0.045945,0.019183,0.009009,0.044793,0.057426,0.007458,0.001266,0.064839,0.043252,0.001852,0.001001,0.065916,0.022855,0.015785,0.006387,0.07809,0.026594,0.005682,5.77E-4,0.093441,0.015781,0.001704,1.8E-5,0.084239,0.022092,0.004296,3.17E-4,0.100002,0.009462,0.001335,1.45E-4,0.100809,0.009039,0.001002,9.2E-5,disliked
0.103374,0.002932,0.001909,0.002896,0.104158,0.003079,0.002726,0.001149,0.105081,0.00388,0.001403,7.48E-4,0.015308,0.021267,0.02554,0.048997,0.032568,0.029266,0.029955,0.019323,0.047197,0.050058,0.010732,0.003124,0.033406,0.025855,0.027192,0.024658,0.047644,0.035678,0.02059,0.0072,0.061035,0.041811,0.007762,5.03E-4,0.014777,0.026229,0.027582,0.042522,0.036382,0.032978,0.024381,0.017371,0.04717,0.051933,0.009471,0.002538,0.028414,0.037594,0.027319,0.017785,0.048248,0.038312,0.018213,0.006338,0.066232,0.032606,0.008999,0.003274,0.020103,0.03562,0.030616,0.024772,0.035449,0.034917,0.025379,0.015366,0.046422,0.03204,0.017683,0.014965,0.101858,0.004063,0.002669,0.002522,0.103904,0.003394,0.003087,7.27E-4,0.105153,0.004354,0.001338,2.66E-4,0.038724,0.027597,0.020633,0.024157,0.053044,0.035729,0.01428,0.008058,0.060737,0.039769,0.009817,7.87E-4,0.035788,0.036577,0.021964,0.016781,0.054899,0.036676,0.013691,0.005845,0.074966,0.027544,0.005658,0.002944,liked
0.058959,0.021031,0.025404,0.005413,0.065977,0.031639,0.012439,7.51E-4,0.077718,0.028138,0.004801,1.5E-4,0.027632,0.008161,0.033351,0.041663,0.031041,0.024876,0.040392,0.014498,0.037997,0.036445,0.031002,0.005363,0.087805,0.010568,0.010039,0.002395,0.091773,0.013028,0.005406,6.0E-4,0.0954,0.011369,0.003644,3.94E-4,0.094767,0.00635,0.004917,0.004773,0.0978,0.006397,0.005161,0.001448,0.099014,0.007134,0.003932,7.27E-4,0.095439,0.010893,0.004119,3.57E-4,0.099016,0.009243,0.002377,1.72E-4,0.102001,0.007401,0.001324,8.2E-5,0.102572,0.004033,0.001668,0.002533,0.10498,0.002815,0.001978,0.001034,0.105428,0.002818,0.002072,4.9E-4,9.24E-4,0.022954,0.064093,0.022836,0.004091,0.051683,0.051599,0.003435,0.012831,0.06293,0.033336,0.00171,0.026548,0.008955,0.047062,0.028242,0.029477,0.033298,0.042727,0.005304,0.037735,0.046935,0.024691,0.001446,0.05186,0.021244,0.025344,0.012359,0.063823,0.028584,0.015334,0.003066,0.069266,0.030459,0.009628,0.001454,liked
0.027258,0.04127,0.034753,0.00783,0.038295,0.042053,0.025736,0.005027,0.051689,0.038162,0.018824,0.002437,0.007143,0.045765,0.04117,0.017033,0.01773,0.052013,0.030619,0.010749,0.037211,0.045036,0.023424,0.005439,0.012058,0.035939,0.042708,0.020407,0.018337,0.043821,0.033763,0.01519,0.022393,0.050616,0.027193,0.010909,0.015442,0.053484,0.036907,0.005278,0.02742,0.05683,0.023638,0.003223,0.039909,0.054295,0.015548,0.001359,0.035103,0.024404,0.048081,0.003523,0.044606,0.029578,0.036299,6.28E-4,0.051448,0.033275,0.026207,1.81E-4,0.012731,0.039369,0.052036,0.006975,0.01927,0.058599,0.031216,0.002026,0.02537,0.062101,0.02229,0.001351,0.012047,0.032144,0.054364,0.012556,0.019188,0.050372,0.035305,0.006247,0.035028,0.053793,0.018813,0.003477,0.024954,0.056625,0.026272,0.00326,0.043795,0.05653,0.010088,6.97E-4,0.065673,0.040945,0.003959,5.34E-4,0.015356,0.040004,0.036567,0.019183,0.02328,0.044618,0.032528,0.010685,0.033292,0.048763,0.022745,0.006312,disliked
0.009753,0.03008,0.052428,0.01885,0.011657,0.049397,0.039088,0.010969,0.018194,0.063366,0.022318,0.007234,0.002963,0.031998,0.048359,0.027792,0.003789,0.048922,0.039602,0.018798,0.019047,0.052211,0.029401,0.010452,0.011723,0.048179,0.040817,0.010391,0.022281,0.060395,0.025092,0.003343,0.043534,0.055936,0.010999,6.42E-4,0.008813,0.031521,0.051972,0.018806,0.011451,0.054106,0.038349,0.007206,0.031048,0.060552,0.017721,0.00179,0.015524,0.047112,0.039872,0.008603,0.026397,0.054147,0.027635,0.002932,0.039465,0.052512,0.017705,0.001429,0.024515,0.052708,0.03055,0.003338,0.039953,0.049638,0.019175,0.002345,0.060311,0.037739,0.012033,0.001028,0.033697,0.030907,0.034382,0.012125,0.038619,0.04037,0.023927,0.008195,0.048493,0.039086,0.017986,0.005546,0.012367,0.042491,0.044228,0.012025,0.018072,0.052917,0.032989,0.007133,0.03015,0.050749,0.026066,0.004146,0.020541,0.045363,0.039666,0.005542,0.032094,0.044857,0.031229,0.002931,0.050261,0.030206,0.026961,0.003683,disliked
0.050512,0.048777,0.010753,9.41E-4,0.064422,0.038415,0.00734,8.06E-4,0.078114,0.026881,0.005265,7.24E-4,0.016344,0.058567,0.027767,0.008306,0.032781,0.056096,0.01599,0.006116,0.059043,0.037654,0.010544,0.003742,0.032578,0.050104,0.025449,0.002851,0.037366,0.050802,0.020511,0.002304,0.041111,0.053722,0.014396,0.001754,0.015556,0.03164,0.04326,0.020528,0.013538,0.049502,0.032848,0.015095,0.018404,0.062978,0.021708,0.007893,0.007948,0.044602,0.050422,0.008012,0.01213,0.055834,0.038513,0.004505,0.031072,0.051634,0.025946,0.002332,0.034615,0.027686,0.035096,0.013586,0.038113,0.03852,0.026732,0.007618,0.046239,0.039506,0.021874,0.003365,0.02391,0.065646,0.018323,0.003104,0.046627,0.048123,0.014038,0.002195,0.071113,0.029336,0.008915,0.001619,0.023714,0.054427,0.029527,0.003316,0.030011,0.058887,0.020294,0.001792,0.044269,0.054879,0.011074,7.61E-4,0.0241,0.041089,0.043556,0.002238,0.029069,0.046957,0.033381,0.001576,0.041887,0.042818,0.024943,0.001335,disliked
0.049421,0.033681,0.020845,0.006959,0.05824,0.027273,0.018556,0.006836,0.045349,0.04149,0.01774,0.006326,0.01702,0.037825,0.03721,0.018852,0.03065,0.038744,0.027979,0.013532,0.030175,0.046673,0.023223,0.010835,0.03031,0.039272,0.029833,0.011491,0.042024,0.038841,0.021876,0.008164,0.036937,0.050738,0.017253,0.005978,0.017647,0.038055,0.038385,0.016819,0.031859,0.041567,0.026825,0.010655,0.032054,0.051138,0.021265,0.006449,0.023606,0.045926,0.028158,0.013216,0.03425,0.045868,0.02204,0.008748,0.036491,0.04925,0.019172,0.005992,0.020227,0.034101,0.039659,0.016919,0.027974,0.044516,0.028436,0.00998,0.032661,0.048151,0.024529,0.005565,0.038456,0.038175,0.026614,0.007661,0.044761,0.038189,0.020782,0.007173,0.047919,0.039742,0.017381,0.005864,0.036789,0.036453,0.028108,0.009555,0.047369,0.036924,0.02057,0.006043,0.050784,0.038253,0.017542,0.004327,0.034255,0.034975,0.031331,0.010344,0.039569,0.03631,0.026153,0.008873,0.047354,0.038915,0.021471,0.003165,liked
